<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.05	11:00:00	2039.176	2039.176	2034.707	2035.442	4358	0	200
2023.05.05	12:00:00	2035.436	2038.275	2007.511	2010.283	18856	0	200
2023.05.05	13:00:00	2010.316	2013.074	2000.996	2003.873	18465	0	200
2023.05.05	14:00:00	2003.907	2010.736	1999.451	2010.668	12002	0	200
2023.05.05	15:00:00	2010.698	2015.154	2007.801	2015.152	8826	0	200
2023.05.05	16:00:00	2015.182	2018.715	2012.998	2017.088	6276	0	200
2023.05.05	17:00:00	2017.101	2018.410	2014.740	2015.474	5262	0	200
2023.05.05	18:00:00	2015.508	2016.668	2013.453	2016.632	4119	0	200
2023.05.05	19:00:00	2016.665	2018.785	2015.198	2017.697	4154	0	200
2023.05.05	20:00:00	2017.730	2018.901	2015.723	2016.650	2167	0	200
2023.05.07	22:00:00	2016.428	2016.495	2014.174	2014.540	2074	0	200
2023.05.07	23:00:00	2014.545	2017.281	2014.545	2016.006	2540	0	200
2023.05.08	00:00:00	2015.976	2018.612	2015.729	2017.990	3006	0	200
2023.05.08	01:00:00	2017.993	2018.460	2015.150	2016.942	4466	0	200
2023.05.08	02:00:00	2016.957	2021.205	2016.281	2020.162	4125	0	200
2023.05.08	03:00:00	2020.128	2023.938	2019.462	2023.189	3136	0	200
2023.05.08	04:00:00	2023.205	2024.557	2022.743	2023.677	2788	0	200
2023.05.08	05:00:00	2023.681	2024.671	2020.084	2020.907	3574	0	200
2023.05.08	06:00:00	2020.939	2022.793	2020.284	2022.019	3757	0	200
2023.05.08	07:00:00	2022.022	2022.606	2020.832	2021.436	3731	0	200
2023.05.08	08:00:00	2021.401	2023.030	2019.937	2022.490	3867	0	200
2023.05.08	09:00:00	2022.482	2024.247	2022.055	2022.611	2914	0	200
2023.05.08	10:00:00	2022.581	2025.028	2022.456	2024.082	3038	0	200
2023.05.08	11:00:00	2024.069	2025.396	2021.449	2022.228	3856	0	200
2023.05.08	12:00:00	2022.251	2026.885	2021.773	2025.998	5980	0	200
2023.05.08	13:00:00	2026.029	2026.758	2017.835	2024.905	8663	0	200
2023.05.08	14:00:00	2024.935	2026.505	2022.877	2024.985	7033	0	200
2023.05.08	15:00:00	2024.955	2029.235	2022.858	2027.098	5842	0	200
2023.05.08	16:00:00	2027.066	2029.320	2026.273	2027.064	4307	0	200
2023.05.08	17:00:00	2027.032	2027.858	2022.805	2023.731	3637	0	200
2023.05.08	18:00:00	2023.728	2023.728	2020.497	2021.456	4670	0	200
2023.05.08	19:00:00	2021.491	2022.382	2020.190	2020.271	3583	0	200
2023.05.08	20:00:00	2020.301	2021.450	2020.136	2021.270	1727	0	200
2023.05.08	22:00:00	2020.960	2022.395	2020.613	2022.129	1588	0	200
2023.05.08	23:00:00	2022.145	2022.145	2020.178	2021.237	1912	0	200
2023.05.09	00:00:00	2021.266	2021.323	2019.483	2020.096	2703	0	200
2023.05.09	01:00:00	2020.065	2024.469	2019.812	2022.742	4146	0	200
2023.05.09	02:00:00	2022.773	2024.227	2021.889	2023.709	2931	0	200
2023.05.09	03:00:00	2023.695	2024.921	2021.958	2024.878	2842	0	200
2023.05.09	04:00:00	2024.894	2026.754	2024.601	2025.637	2672	0	200
2023.05.09	05:00:00	2025.643	2028.697	2025.362	2026.008	3483	0	200
2023.05.09	06:00:00	2026.040	2027.744	2023.732	2024.124	4359	0	200
2023.05.09	07:00:00	2024.156	2025.701	2021.575	2024.626	4788	0	200
2023.05.09	08:00:00	2024.596	2026.071	2021.378	2025.299	4225	0	200
2023.05.09	09:00:00	2025.295	2028.352	2024.828	2028.268	3819	0	200
2023.05.09	10:00:00	2028.233	2031.098	2027.960	2030.839	3758	0	200
2023.05.09	11:00:00	2030.803	2032.768	2030.553	2031.009	4410	0	200
2023.05.09	12:00:00	2031.000	2032.045	2026.603	2026.889	5697	0	200
2023.05.09	13:00:00	2026.929	2030.499	2022.880	2030.277	8246	0	200
2023.05.09	14:00:00	2030.247	2030.308	2025.564	2026.005	6829	0	200
